Data,Descrição,Valor,Conta,Categoria,Tipo
2026-09-07,uber one,"19,90",Itaú Black,Assinaturas,Despesa
2026-09-07,cursos para concurso ,"49,90",Itaú Black,Educação,Despesa
2026-09-05,chatgpt,"99,90",Itaú Black,Assinaturas,Despesa
2026-09-01,xou da xuxa,"61,68",Itaú Black,Rolê,Despesa
2026-09-01,xou da xuxa,"57,08",Itaú Black,Rolê,Despesa
2026-09-01,Salário,"5.837,18",Conta corrente ,Salário,Receita
2026-09-01,aluguel,"1.359,50",Conta corrente ,Moradia,Despesa
2026-09-01,iptu,"154,10",Conta corrente ,Moradia,Despesa
2026-08-29,cafeteira para a DCOM (vou receber de volta),"18,19",Itaú Black,Compras & Presentes,Despesa
2026-08-25,desve,"60,26",Itaú Black,Saúde,Despesa
2026-08-18,microondas ,"54,50",Itaú Black,Compras & Presentes,Despesa
2026-08-18,fone jbl,"36,36",Itaú Black,Compras & Presentes,Despesa
2026-08-17,wellhub da artemis ,"293,30",Itaú Black,Outros Gastos,Despesa
2026-08-17,apple one,"17,80",Itaú Black,Assinaturas,Despesa
2026-08-17,wellhub,"137,50",Itaú Black,Assinaturas,Despesa
2026-08-15,unimed,"579,10",Conta corrente ,Saúde,Despesa
2026-08-15,ovos,"53,50",Itaú Black,Supermercado,Despesa
2026-08-11,conta de luz ,"161,70",Conta corrente ,Moradia,Despesa
2026-08-10,condomínio ,"735,71",Conta corrente ,Moradia,Despesa
2026-08-10,internet,"96,78",Conta corrente ,Moradia,Despesa
2026-08-10,clube,"180,00",Conta corrente ,Assinaturas,Despesa
2026-08-08,projetor ,"295,37",Itaú Black,Compras & Presentes,Despesa
2026-08-08,prime,"13,90",Itaú Black,Assinaturas,Despesa
2026-08-07,uber one,"19,90",Itaú Black,Assinaturas,Despesa
2026-08-07,cursos para concurso ,"49,90",Itaú Black,Educação,Despesa
2026-08-06,proteína de soja ,"98,28",Itaú Black,Supermercado,Despesa
2026-08-05,chatgpt,"99,90",Itaú Black,Assinaturas,Despesa
2026-08-03,cigarro,"15,50",Conta corrente ,Cigarro,Despesa
2026-08-02,airpods,"140,74",Itaú Black,Compras & Presentes,Despesa
2026-08-01,xou da xuxa,"61,68",Itaú Black,Rolê,Despesa
2026-08-01,xou da xuxa,"57,08",Itaú Black,Rolê,Despesa
2026-08-01,google cloud,"3,16",Itaú Black,Assinaturas,Despesa
2026-08-01,Ajuste de Saldo,"1.214,76",Investimentos ,N/A,Receita
2026-08-01,cigarro ,"15,50",Itaú Black,Cigarro,Despesa
2026-08-01,loteria - andreza,"24,00",Investimentos ,Outras Receitas,Receita
2026-08-01,mercado,"90,33",Itaú Black,Supermercado,Despesa
2026-08-01,Salário,"5.837,18",Conta corrente ,Salário,Receita
2026-08-01,aluguel,"1.359,50",Conta corrente ,Moradia,Despesa
2026-08-01,iptu,"154,10",Conta corrente ,Moradia,Despesa
2026-08-01,puc,"541,76",Conta corrente ,Educação,Despesa
2026-07-31,Transferência de Investimentos ,"12,50",Conta corrente ,N/A,Receita
2026-07-31,Transferência para Conta corrente ,"12,50",Investimentos ,N/A,Despesa
2026-07-31,cigarro,"12,50",Conta corrente ,Cigarro,Despesa
2026-07-31,rolê ,"86,56",Itaú Black,Rolê,Despesa
2026-07-31,rolê,"41,40",Itaú Black,Rolê,Despesa
2026-07-31,rolê,"21,30",Itaú Black,Rolê,Despesa
2026-07-30,almoço,"61,70",Itaú Black,Alimentação,Despesa
2026-07-30,rosquinha e cigarro hihi,"17,44",Itaú Black,Alimentação,Despesa
2026-07-30,loteria,"6,00",Itaú Black,Loteria,Despesa
2026-07-29,cafeteira para a DCOM (vou receber de volta),"18,19",Itaú Black,Compras & Presentes,Despesa
2026-07-29,Transferência de Investimentos ,"12,50",Conta corrente ,N/A,Receita
2026-07-29,Transferência para Conta corrente ,"12,50",Investimentos ,N/A,Despesa
2026-07-29,cigarro,"12,50",Conta corrente ,Cigarro,Despesa
2026-07-28,loteria,"6,00",Itaú Black,Loteria,Despesa
2026-07-28,mercado,"26,15",Itaú Black,Supermercado,Despesa
2026-07-28,Transferência de Investimentos ,"12,50",Conta corrente ,N/A,Receita
2026-07-28,Transferência para Conta corrente ,"12,50",Investimentos ,N/A,Despesa
2026-07-28,cigarro,"12,50",Conta corrente ,Cigarro,Despesa
2026-07-27,mercado,"42,07",Itaú Black,Supermercado,Despesa
2026-07-27,mercado,"3,98",Itaú Black,Supermercado,Despesa
2026-07-26,pasta de amendoim ,"23,85",Itaú Black,Supermercado,Despesa
2026-07-26,camisetas,"49,90",Itaú Black,Roupas,Despesa
2026-07-25,cigarro,"12,25",Itaú Black,Cigarro,Despesa
2026-07-25,loteria,"6,00",Itaú Black,Loteria,Despesa
2026-07-25,rolê,"30,00",Itaú Black,Rolê,Despesa
2026-07-25,rolê,"10,00",Itaú Black,Rolê,Despesa
2026-07-25,rolê,"30,00",Itaú Black,Rolê,Despesa
2026-07-25,rolê,"20,00",Itaú Black,Rolê,Despesa
2026-07-25,rolê,"12,00",Itaú Black,Rolê,Despesa
2026-07-25,rolê,"99,00",Itaú Black,Rolê,Despesa
2026-07-25,uber,"13,96",Itaú Black,Transporte,Despesa
2026-07-25,desve,"60,26",Itaú Black,Saúde,Despesa
2026-07-24,cigarro,"12,25",Itaú Black,Cigarro,Despesa
2026-07-23,bolsa para lavar tênis ,"31,79",Itaú Black,Compras & Presentes,Despesa
2026-07-23,almoço ,"50,90",Itaú Black,Alimentação,Despesa
2026-07-23,cigarro,"11,25",Itaú Black,Cigarro,Despesa
2026-07-23,rolê ,"64,23",Itaú Black,Rolê,Despesa
2026-07-22,mercado ,"16,48",Itaú Black,Supermercado,Despesa
2026-07-22,cigarro,"12,25",Itaú Black,Cigarro,Despesa
2026-07-21,mercado,"18,15",Itaú Black,Supermercado,Despesa
2026-07-20,Transferência de Investimentos ,"12,50",Conta corrente ,N/A,Receita
2026-07-20,Transferência para Conta corrente ,"12,50",Investimentos ,N/A,Despesa
2026-07-20,cigarro ,"12,50",Conta corrente ,Cigarro,Despesa
2026-07-20,mercado,"66,44",Itaú Black,Supermercado,Despesa
2026-07-19,cigarro,"13,00",Itaú Black,Cigarro,Despesa
2026-07-19,granola,"36,75",Itaú Black,Supermercado,Despesa
2026-07-19,creme pra cabelo,"34,11",Itaú Black,Alimentação,Despesa
2026-07-18,Transferência de Investimentos ,"12,50",Conta corrente ,N/A,Receita
2026-07-18,Transferência para Conta corrente ,"12,50",Investimentos ,N/A,Despesa
2026-07-18,cigarro,"12,50",Conta corrente ,Cigarro,Despesa
2026-07-18,microondas ,"54,50",Itaú Black,Compras & Presentes,Despesa
2026-07-18,fone jbl,"36,36",Itaú Black,Compras & Presentes,Despesa
2026-07-18,loteria,"6,00",Itaú Black,Loteria,Despesa
2026-07-17,cigarro,"12,25",Itaú Black,Cigarro,Despesa
2026-07-17,wellhub da artemis ,"293,30",Itaú Black,Outros Gastos,Despesa
2026-07-17,apple one,"27,80",Itaú Black,Assinaturas,Despesa
2026-07-17,mercado,"59,60",Itaú Black,Supermercado,Despesa
2026-07-17,wellhub,"137,50",Itaú Black,Assinaturas,Despesa
2026-07-16,cigarro,"12,25",Itaú Black,Cigarro,Despesa
2026-07-16,chá de camomila ,"19,66",Itaú Black,Supermercado,Despesa
2026-07-16,compra de taboa de passar roupa e gaiolinha pra chá ,"51,19",Itaú Black,Compras & Presentes,Despesa
2026-07-16,loteria,"6,00",Itaú Black,Loteria,Despesa
2026-07-16,matrícula puc minas,"542,00",Itaú Black,Educação,Despesa
2026-07-15,reingresso puc minas ,"35,00",Itaú Black,Outros Gastos,Despesa
2026-07-15,cigarro,"12,25",Itaú Black,Cigarro,Despesa
2026-07-15,mercado ,"71,02",Itaú Black,Supermercado,Despesa
2026-07-15,unimed,"579,10",Conta corrente ,Saúde,Despesa
2026-07-15,ovos,"53,50",Itaú Black,Supermercado,Despesa
2026-07-14,Transferência de Investimentos ,"12,50",Conta corrente ,N/A,Receita
2026-07-14,Transferência para Conta corrente ,"12,50",Investimentos ,N/A,Despesa
2026-07-14,cigarro,"12,50",Conta corrente ,Cigarro,Despesa
2026-07-13,mercado,"61,68",Itaú Black,Supermercado,Despesa
2026-07-13,ovos,"12,90",Itaú Black,Supermercado,Despesa
2026-07-12,cigarro,"12,00",Itaú Black,Cigarro,Despesa
2026-07-12,metrô ,"6,00",Itaú Black,Transporte,Despesa
2026-07-11,cigarro,"12,25",Itaú Black,Cigarro,Despesa
2026-07-11,loteria,"6,00",Itaú Black,Loteria,Despesa
2026-07-11,conta de luz ,"166,43",Conta corrente ,Moradia,Despesa
2026-07-10,pagamento maquina de café dcom ,"12,23",Investimentos ,Outras Receitas,Receita
2026-07-10,cigarro,"15,50",Itaú Black,Cigarro,Despesa
2026-07-10,mercado,"91,88",Itaú Black,Supermercado,Despesa
2026-07-10,condomínio ,"552,12",Conta corrente ,Moradia,Despesa
2026-07-10,internet,"88,68",Conta corrente ,Moradia,Despesa
2026-07-10,clube,"180,00",Conta corrente ,Assinaturas,Despesa
2026-07-09,Transferência de Investimentos ,"15,50",Conta corrente ,N/A,Receita
2026-07-09,Transferência para Conta corrente ,"15,50",Investimentos ,N/A,Despesa
2026-07-09,cigarro,"15,50",Conta corrente ,Cigarro,Despesa
2026-07-09,cateira com,"12,23",Investimentos ,Outras Receitas,Receita
2026-07-09,papel higiênico ,"34,23",Itaú Black,Supermercado,Despesa
2026-07-09,pagamento cafeteira ifmg ,"36,55",Investimentos ,Outras Receitas,Receita
2026-07-08,Ajuste de Saldo,"200,00",Conta corrente ,N/A,Despesa
2026-07-08,Transferência de Investimentos ,"673,92",Conta corrente ,N/A,Receita
2026-07-08,Transferência para Conta corrente ,"673,92",Investimentos ,N/A,Despesa
2026-07-08,cigarro,"12,25",Itaú Black,Cigarro,Despesa
2026-07-08,mercado,"44,15",Itaú Black,Supermercado,Despesa
2026-07-08,projetor ,"295,37",Itaú Black,Compras & Presentes,Despesa
2026-07-08,Transferência de Conta corrente ,"3.231,17",Itaú Black,N/A,Receita
2026-07-08,Pagamento Fatura Itaú Black,"3.231,17",Conta corrente ,Fatura de Cartão,Despesa
2026-07-08,prime,"13,90",Itaú Black,Assinaturas,Despesa
2026-07-07,pomada cabelo,"25,41",Itaú Black,Autocuidado,Despesa
2026-07-07,uber one,"19,90",Itaú Black,Assinaturas,Despesa
2026-07-07,mercado,"18,94",Itaú Black,Supermercado,Despesa
2026-07-07,cursos para concurso ,"49,90",Itaú Black,Educação,Despesa
2026-07-07,loteria,"6,00",Itaú Black,Loteria,Despesa
2026-07-06,proteína de soja ,"98,28",Itaú Black,Supermercado,Despesa
2026-07-06,cigarro,"12,25",Itaú Black,Cigarro,Despesa
2026-07-05,rolê ,"101,20",Itaú Black,Rolê,Despesa
2026-07-05,cigarro,"12,25",Itaú Black,Cigarro,Despesa
2026-07-05,chatgpt,"99,90",Itaú Black,Assinaturas,Despesa
2026-07-05,pagamento pelo wellhub da artemis ,"293,30",Investimentos ,Outras Receitas,Receita
2026-07-04,Transferência de Investimentos ,"12,50",Conta corrente ,N/A,Receita
2026-07-04,Transferência para Conta corrente ,"12,50",Investimentos ,N/A,Despesa
2026-07-04,cigarro,"12,50",Conta corrente ,Cigarro,Despesa
2026-07-04,loteria,"6,00",Itaú Black,Loteria,Despesa
2026-07-03,tapetinho da temu,"95,51",Itaú Black,Compras & Presentes,Despesa
2026-07-03,pagamento cafeiteira dcom,"12,22",Investimentos ,Outras Receitas,Receita
2026-07-03,cigarro ,"12,25",Itaú Black,Cigarro,Despesa
2026-07-03,mercado,"62,85",Itaú Black,Supermercado,Despesa
2026-07-02,pagamento cafeteira ,"24,30",Investimentos ,Outras Receitas,Receita
2026-07-02,cigarro,"12,25",Itaú Black,Cigarro,Despesa
2026-07-02,airpods,"140,74",Itaú Black,Compras & Presentes,Despesa
2026-07-02,loteria,"6,00",Itaú Black,Loteria,Despesa
2026-07-02,recarga tim,"64,25",Itaú Black,Assinaturas,Despesa
2026-07-02,pasta de amendoim,"19,33",Itaú Black,Supermercado,Despesa
2026-07-01,Ajuste de Saldo,"1.068,44",Investimentos ,N/A,Receita
2026-07-01,Salário,"5.837,18",Conta corrente ,Salário,Receita
2026-07-01,cigarro ,"12,50",Itaú Black,Cigarro,Despesa
2026-07-01,aluguel,"1.359,50",Conta corrente ,Moradia,Despesa
2026-07-01,iptu,"154,10",Conta corrente ,Moradia,Despesa
