Categoria,Mês/Ano,Valor
Supermercado,2026-04,"600,00"
Transporte,2026-04,"200,00"
Alimentação,2026-05,"300,00"
Assinaturas,2026-05,"516,40"
Autocuidado,2026-05,"100,00"
Cigarro,2026-05,"0,01"
Compras & Presentes,2026-05,"400,00"
Educação,2026-05,"49,90"
Fatura de Cartão,2026-05,"2.000,00"
Loteria,2026-05,"50,00"
Moradia,2026-05,"2.300,00"
Parcelamentos,2026-05,"400,00"
Rolê,2026-05,"400,00"
Roupas,2026-05,"100,00"
Saúde,2026-05,"650,00"
Supermercado,2026-05,"600,00"
Transporte,2026-05,"200,00"
Impostos,2026-05,"0,00"
Viagem,2026-05,"0,00"
Outros Gastos,2026-05,"0,00"
Alimentação,2026-06,"300,00"
Assinaturas,2026-06,"516,40"
Autocuidado,2026-06,"100,00"
Cigarro,2026-06,"0,01"
Compras & Presentes,2026-06,"400,00"
Educação,2026-06,"49,90"
Fatura de Cartão,2026-06,"2.000,00"
Loteria,2026-06,"50,00"
Moradia,2026-06,"2.300,00"
Parcelamentos,2026-06,"400,00"
Rolê,2026-06,"400,00"
Roupas,2026-06,"100,00"
Saúde,2026-06,"670,00"
Supermercado,2026-06,"600,00"
Transporte,2026-06,"200,00"
Alimentação,2026-07,"300,00"
Assinaturas,2026-07,"516,40"
Autocuidado,2026-07,"100,00"
Cigarro,2026-07,"0,01"
Compras & Presentes,2026-07,"400,00"
Educação,2026-07,"49,90"
Fatura de Cartão,2026-07,"2.000,00"
Loteria,2026-07,"50,00"
Moradia,2026-07,"2.300,00"
Parcelamentos,2026-07,"400,00"
Rolê,2026-07,"400,00"
Roupas,2026-07,"100,00"
Saúde,2026-07,"670,00"
Supermercado,2026-07,"600,00"
Transporte,2026-07,"200,00"
Viagem,2026-06,"0,00"
Alimentação,2026-08,"300,00"
Assinaturas,2026-08,"516,40"
Autocuidado,2026-08,"100,00"
Cigarro,2026-08,"0,00"
Compras & Presentes,2026-08,"400,00"
Educação,2026-08,"591,66"
Fatura de Cartão,2026-08,"2.000,00"
Loteria,2026-08,"50,00"
Moradia,2026-08,"2.300,00"
Parcelamentos,2026-08,"400,00"
Rolê,2026-08,"400,00"
Roupas,2026-08,"100,00"
Saúde,2026-08,"670,00"
Supermercado,2026-08,"600,00"
Transporte,2026-08,"200,00"
Outros Gastos,2026-06,"0,00"
Outros Gastos,2026-07,"0,00"
